Year;BC;TOT;ME;CD;TAU;PCA;ECA;OTN;TAE;POT;EOT
1901; 14.334160019211737; 13.776658416124747; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.1944077914351823; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.4776652489658062; 11.069245816126909
1902; 14.33427515748211; 13.776831123530286; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.1945229297055562; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917180377; 11.069245816126909
1903; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1904; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1905; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1906; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1907; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1908; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1909; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1910; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1911; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1912; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1913; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1914; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1915; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1916; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1917; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1918; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1919; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1920; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.001564877200394; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1921; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.0015648772004; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1922; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.0015648772004; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1923; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.0015648772004; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1924; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.0015648772004; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1925; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.0015648772004; 4.69845685720496; 0.47780917191914796; 11.069245816126909
1926; 14.334275157574424; 13.776831123668757; 17.041860465116258; 12.661943055857407; 22.695935666159556; 1.19452292979787; 11.069245816126909; 52.0015648772004; 4.69845685720496; 0.47780917191914796; 11.069245816126909
